"2_rbfdot","3_rbfdot","4_rbfdot","5_rbfdot","6_rbfdot","2_polydot","3_polydot","4_polydot","5_polydot","6_polydot","2_laplacedot","3_laplacedot","4_laplacedot","5_laplacedot","6_laplacedot","2_anovadot","3_anovadot","4_anovadot","5_anovadot","6_anovadot","2_splinedot","3_splinedot","4_splinedot","5_splinedot","6_splinedot"
1,2,2,5,6,2,3,1,1,1,2,2,1,5,6,2,2,4,5,6,1,1,2,5,4
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,3,2,5,2,2,3,4,5,2,1,3,1,4,2,3,3,4,2,1,2,4,2,2
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,2,1,5,2,1,3,1,1,4,1,2,4,5,1,1,2,4,2,4,2,1,2,5,5
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,5,1,2,3,1,1,6,2,2,1,5,6,2,2,4,5,1,1,1,2,5,6
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,2,5,1,1,3,1,1,6,1,2,1,5,5,1,2,4,1,1,2,1,2,5,6
1,2,2,4,1,2,3,3,2,6,2,2,1,2,5,2,2,3,1,1,1,1,4,1,6
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,1,2,2,1,4,2,2
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,2,5,6,2,3,1,1,1,2,2,1,5,6,2,2,4,5,6,1,1,2,5,4
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,1,1,5,2,1,1,1,1,4,1,3,4,5,1,1,1,4,2,4,2,3,2,5,5
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,2,3,4,1,2,3,3,2,6,2,2,3,2,5,2,2,3,1,1,1,1,4,1,6
2,1,1,3,1,1,1,4,3,6,1,3,4,4,5,1,1,1,5,1,2,3,3,3,6
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,1,2,5,6,1,1,1,1,1,1,3,1,5,6,1,1,4,2,6,2,3,2,5,4
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,4,4,2,3,3,3,5
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,2,5,6,2,3,1,1,1,2,2,1,5,6,2,2,4,2,6,1,1,2,5,4
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,4,4,2,3,3,3,5
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,2,2,5,1,2,3,1,1,6,2,2,1,5,5,2,2,4,5,1,1,1,2,5,6
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,2,5,6,2,3,1,1,1,2,2,1,5,6,2,2,4,2,6,1,1,2,5,4
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,5,1,2,3,1,1,6,2,2,1,5,5,2,2,4,5,1,1,1,2,5,6
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,1,1,5,6,1,1,4,1,1,1,3,4,5,6,1,1,1,2,6,2,3,3,5,4
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,2,2,4,1,2,3,1,2,6,2,2,1,2,3,2,2,4,5,1,1,1,2,1,6
1,3,4,4,1,2,2,2,2,6,2,1,2,2,3,2,3,2,5,1,1,2,1,1,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,2,4,3,2,3,1,2,2,2,2,1,2,3,2,2,4,5,5,1,1,2,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,2,2,5,6,2,3,1,1,1,2,2,1,5,6,2,2,4,5,6,1,1,2,5,4
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,4,1,2,3,3,2,6,2,2,3,2,5,2,2,3,1,1,1,1,4,1,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
2,1,3,2,5,1,1,3,4,5,1,3,3,1,4,1,1,3,4,2,2,3,4,2,2
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,5,1,2,3,1,1,6,2,2,1,5,5,2,2,4,1,1,1,1,2,5,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,3,4,1,2,2,3,2,6,2,1,3,2,5,2,3,3,1,1,1,2,4,1,6
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
1,3,3,4,1,2,2,3,2,6,2,1,3,2,5,2,3,3,1,1,1,2,4,1,6
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,1,2,5,6,1,1,1,1,1,1,3,1,5,6,1,1,4,2,6,2,3,2,5,4
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,3,3,2,5,2,2,3,4,5,2,1,3,1,4,2,3,3,4,2,1,2,4,2,2
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,1,2,2,1,4,2,2
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,3,4,1,3,2,2,2,5,2,2,1,2,3,3,2,3,2,5,5,1,2,1,4,1
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,2,4,3,2,2,2,2,2,2,1,1,2,3,2,3,2,5,5,1,2,1,1,1
2,1,2,5,6,1,1,1,1,1,1,3,1,5,6,1,1,4,2,6,2,3,2,5,4
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,2,2,4,3,2,3,2,2,2,2,2,1,2,3,2,2,2,5,5,1,1,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,5,2,2,3,1,2,1,1,4,2,2
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,5,2,2,3,1,2,1,1,4,2,2
1,2,3,2,1,2,3,3,4,6,2,2,3,1,5,2,2,3,1,1,1,1,4,2,6
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,3,4,1,3,2,2,2,5,2,2,1,2,3,3,2,3,2,3,5,1,2,1,4,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
2,2,2,5,6,1,3,1,1,1,1,2,1,5,6,1,2,4,2,6,2,1,2,5,4
1,3,4,1,3,2,2,2,5,2,2,1,2,3,3,2,3,2,3,5,1,2,1,4,1
1,3,2,4,3,2,2,1,2,2,2,1,1,2,3,2,3,4,5,5,1,2,2,1,1
1,3,3,2,5,2,2,3,4,5,2,1,3,1,4,2,3,3,4,2,1,2,4,2,2
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,2,2,5,1,2,3,1,1,6,2,2,1,5,5,2,2,4,1,1,1,1,2,5,6
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
1,2,2,5,1,2,3,1,1,6,2,2,1,5,5,2,2,4,5,1,1,1,2,5,6
1,2,2,2,1,2,3,3,4,6,2,2,1,1,5,2,2,3,1,1,1,1,4,2,6
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
1,3,4,1,4,2,2,2,5,3,2,1,2,3,2,2,3,2,3,3,1,2,1,4,3
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
1,2,2,4,1,2,3,1,2,6,2,2,1,2,5,2,2,4,5,1,1,1,2,1,6
1,2,3,4,1,2,3,3,2,6,2,2,3,2,5,2,2,3,1,1,1,1,4,1,6
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,1,2,1,1,4,2,2
1,3,4,4,3,2,2,2,2,2,2,1,2,2,3,2,3,2,5,5,1,2,1,1,1
1,2,3,2,5,2,3,3,4,5,2,2,3,1,4,2,2,3,4,2,1,1,4,2,2
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
2,1,2,5,6,1,1,1,1,1,1,3,1,5,6,1,1,4,2,6,2,3,2,5,4
2,1,1,3,2,1,1,4,3,4,1,3,4,4,1,1,1,1,2,4,2,3,3,3,5
2,2,3,2,5,1,3,3,4,5,1,2,3,1,4,1,2,3,4,2,2,1,4,2,2
